Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-11-11 19:18:38,false,"Wandsworth Running","4.85","286","00:25:16","142","186","3.6","162","172","5:13","4:44","4","6","1.18","0.0","No","00:00:06.4","4","00:24:56","00:41:15","29","34"
Running,2024-11-06 19:18:11,false,"Wandsworth Running","5.59","385","00:34:04","152","179","4.1","161","169","6:06","5:20","59","64","1.02","0.0","No","00:04:27.6","4","00:33:47","00:36:54","2","52"
Running,2024-11-04 19:22:15,false,"Wandsworth Running","2.82","121","00:13:21","125","160","2.5","162","209","4:44","2:17","3","2","1.31","0.0","No","00:05:25.0","2","00:12:55","00:39:55","29","33"
Running,2024-10-30 19:18:02,false,"Wandsworth Running","5.62","379","00:34:40","151","175","3.8","161","171","6:10","5:16","26","29","1.01","0.0","No","00:04:50.9","4","00:34:28","00:38:16","26","52"
Running,2024-10-14 19:22:47,false,"Wandsworth Running","3.82","210","00:18:45","141","159","3.2","164","187","4:55","3:33","4","5","1.24","0.0","No","00:02:33.9","3","00:18:20","00:33:17","29","33"
Running,2024-10-09 19:14:29,false,"Wandsworth Running","5.64","378","00:34:14","157","176","3.6","162","171","6:04","5:18","25","30","1.02","0.0","No","00:04:56.5","4","00:34:05","00:36:28","19","52"
Running,2024-10-07 19:22:08,false,"Wandsworth Running","4.03","187","00:18:16","136","157","3.0","165","184","4:32","3:23","3","--","1.34","0.0","No","00:03:50.5","3","00:17:48","00:37:11","29","33"
Running,2024-10-07 19:13:53,false,"Wandsworth Running","0.42","30","00:02:37.8","124","145","1.3","158","163","6:15","5:54","--","--","1.01","0.0","No","00:02:37.8","1","00:02:37","00:02:37.8","29","33"
Running,2024-10-06 13:47:52,false,"Wandsworth - Base","4.37","287","00:28:19","144","168","3.0","157","171","6:29","5:37","20","28","0.98","0.0","No","00:07:16.6","3","00:28:09","00:40:03","28","44"
Running,2024-10-04 16:55:13,false,"Wandsworth Running","5.03","340","00:32:53","147","169","3.1","159","177","6:32","5:41","22","29","0.96","0.0","No","00:01:12.8","4","00:32:41","00:39:02","28","45"
Running,2024-10-01 18:53:07,false,"Wandsworth Running","4.74","328","00:31:05","139","168","3.2","156","169","6:34","5:27","10","22","0.97","0.0","No","00:09:56.4","3","00:30:58","00:40:57","23","38"
Running,2024-09-30 18:14:29,false,"Wandsworth Running","5.64","379","00:35:38","153","175","3.3","157","176","6:19","4:50","27","37","1.01","0.0","No","00:05:14.9","4","00:35:17","00:45:21","17","41"
Running,2024-09-23 19:20:36,false,"Wandsworth Running","3.84","221","00:18:54","164","194","3.3","168","192","4:55","3:27","--","0","1.21","0.0","No","00:03:10.9","3","00:18:41","00:33:05","29","33"
Running,2024-09-23 19:11:17,false,"Wandsworth Running","0.39","25","00:02:20.6","138","162","0.9","159","170","5:57","5:12","--","--","1.06","0.0","No","00:02:20.6","1","00:02:13","00:02:20.6","29","35"
Running,2024-09-21 11:37:12,false,"Wandsworth Running","25.00","1,640","02:41:29","157","173","5.0","163","173","6:28","4:47","149","158","0.95","0.0","No","00:05:58.3","16","02:40:46","02:55:44","-1","38"
Running,2024-09-18 18:57:18,false,"Wandsworth Running","6.65","427","00:40:32","149","169","3.3","162","170","6:06","5:12","26","33","1.01","0.0","No","00:01:25.7","5","00:40:28","01:00:17","27","52"
Running,2024-09-17 12:37:26,false,"Wandsworth Running","10.00","654","01:02:53","146","172","3.8","161","170","6:17","5:17","50","58","0.99","0.0","No","00:00:05.8","8","01:02:17","01:06:11","22","47"
Running,2024-09-16 19:30:20,false,"Wandsworth Running","3.64","178","00:16:00","141","186","3.0","171","198","4:24","3:25","1","2","1.33","0.0","No","00:01:37.7","3","00:15:29","00:27:49","29","33"
Running,2024-09-16 19:21:52,false,"Wandsworth - Base","0.35","22","00:02:06.9","118","133","0.8","159","166","6:08","5:33","--","5","1.03","0.0","No","00:02:06.9","1","00:02:03","00:02:06.9","29","37"
